name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Boston,2025-02-01T00:00:00,33.2,28.8,33.1,99.64,0.02,100,"rain,snow",0,0,13.4,4.7,21,1004.5,100,3.1,515,1.9,0,,"Snow, Rain, Overcast",rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T01:00:00,33.2,26.4,33.1,99.55,0.012,100,"rain,snow",0,0,13,8,20,1003.6,100,8.1,524,1.9,0,,"Snow, Rain, Overcast",rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T02:00:00,33.2,27.1,33.1,99.55,0.011,100,"rain,snow",0,0,13,6.9,351,1003.7,100,2.5,585,2.1,0,,"Snow, Rain, Overcast",rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T03:00:00,34.1,26.7,34,99.63,0,0,,0,0,15.4,9.1,340,1004,100,1.9,636,2.3,0,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T04:00:00,33.2,24.6,33.1,99.64,0.011,100,"rain,snow",0,0,19.2,11.2,340,1004.5,100,2.5,807,2.9,0,,"Snow, Rain, Overcast",rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T05:00:00,32,22.5,30.8,95.27,0,0,"rain,snow",0.08,0,17.2,12.6,360,1005.1,100,1.9,499,1.8,0,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T06:00:00,32,22,29.9,91.91,0,0,,0,0,20.8,13.7,350,1007.1,100,3.2,568,2,0,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T07:00:00,30.9,21.6,29,92.71,0,0,"rain,snow",0.04,0,18.3,11.4,341,1008.7,100,2.1,782,2.8,8,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T08:00:00,30.9,20.2,28.1,89.4,0,0,"rain,snow",0.08,0,29.3,14.9,360,1009.3,100,3.8,558,2,6,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T09:00:00,30,19.1,28.1,92.61,0,0,"rain,snow",0.04,0,21.9,14.8,351,1011.3,100,3.1,882,3.2,9,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T10:00:00,29.9,20.5,26.9,88.35,0,0,"rain,snow",0.04,0,24.2,11.4,359,1013.4,100,2.5,784,2.8,8,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T11:00:00,27,15.3,21.8,80.5,0.011,100,snow,0.04,0,27,14.9,340,1015.6,100,2.5,59,0.2,1,,"Snow, Overcast",snow,"KOWD,AV085,72509854704,KBOS,72509014739,72505914702"
Boston,2025-02-01T12:00:00,26.1,12.5,20,77.29,0,0,snow,0.04,0,26.4,19.4,330,1016.9,100,3.3,641,2.3,6,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T13:00:00,26.2,14.1,19.1,74.3,0,0,snow,0.04,0,23,14.9,321,1018.3,99.8,6.9,617,2.2,6,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T14:00:00,27.1,16.2,17.9,68.12,0,0,,0,0,23.1,12.8,310,1019.6,99.6,9.9,531,1.9,5,,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T15:00:00,28.1,16.2,12.9,52.32,0,0,,0,0,27.6,16,321,1021,50.2,9.9,678,2.4,7,,Partially cloudy,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T16:00:00,27,14.7,12.8,54.58,0,0,,0,0,30.7,16.1,320,1022.8,26,9.9,540,1.9,5,,Partially cloudy,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T17:00:00,24.2,10.8,10,54.21,0,0,,0,0,23.2,17,311,1025,25.6,9.9,499,1.8,0,,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T18:00:00,23,9.6,8,52.2,0,0,,0,0,23,15.9,320,1027.1,25.6,9.9,654,2.4,0,,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T19:00:00,20.9,7.5,3.8,46.92,0,0,,0,0,25.1,14.8,320,1028.7,0,9.9,642,2.3,0,,Clear,clear-night,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T20:00:00,20,4.1,3.7,48.58,0,0,,0,0,27.6,20.5,311,1030.1,0,9.9,0,0,0,,Clear,clear-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2025-02-01T21:00:00,18,3.2,0.9,46.5,0,0,,0,0,27,16,311,1031,0,9.9,652,2.3,0,,Clear,clear-night,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-01T22:00:00,16.1,1.3,-4,40.13,0,0,,0,0,31,14.8,321,1031.5,0,9.9,0,0,0,,Clear,clear-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2025-02-01T23:00:00,14,-0.8,-2.9,46.28,0,0,,0,0,25.2,13.7,321,1032.3,0,9.9,534,1.9,0,,Clear,clear-night,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-02T00:00:00,12.9,-0.1,-2.9,48.59,0,0,,0,0,23.9,10.2,321,1033.2,25.6,9.9,534,1.9,0,,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2025-02-02T01:00:00,11.9,-3.4,-2.9,50.61,0,0,,0,0,20.1,13.6,321,1033.7,25.6,9.9,524,1.9,0,,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
