name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boston,2024-01-01,38.1,28.9,33.3,34.8,22.7,27.9,23.2,66.4,0,0,0,,0,0,14.1,7.9,349.3,1016.6,65.5,9.9,51.9,4.4,3,10,2024-01-01T07:13:34,2024-01-01T16:21:58,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-02,41,24,31.7,39,14.4,25.6,19.4,61.5,0,0,0,,0,0,14.5,10.1,279.2,1016,9.6,9.9,75.5,6.5,3,10,2024-01-02T07:13:39,2024-01-02T16:22:50,0.72,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-03,42.2,30.5,36.6,40.5,21.9,31,27,68.3,0,0,0,,0,0,14.8,11.3,301.6,1014.1,58,9.9,70.8,6.1,4,10,2024-01-03T07:13:42,2024-01-03T16:23:44,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-04,45,24.2,36.8,41.1,8.5,29,23.6,60.5,0,0,0,,0,0,33.5,24,300.3,1013.5,65.9,9.9,51.3,4.4,3,10,2024-01-04T07:13:42,2024-01-04T16:24:39,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-05,34.1,20.9,27.3,25,5.6,15.8,10.6,49.4,0,0,0,,0,0,33.2,21.8,298.2,1021.3,30.1,9.9,78.6,6.8,4,10,2024-01-05T07:13:39,2024-01-05T16:25:36,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-06,37.1,30.7,33.9,33.5,21,27.4,25.2,70.9,0.051,100,12.5,"rain,snow",0,0,40.3,29.7,108.7,1020.8,97.8,9.5,32.8,2.8,2,10,2024-01-06T07:13:35,2024-01-06T16:26:35,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-07,37.1,24.2,31,25.7,11.1,18.5,30.3,97.1,0.955,100,70.83,"rain,snow",5.9,0.8,35.9,28.6,39.3,1006.4,100,4,14,1.2,1,10,2024-01-07T07:13:28,2024-01-07T16:27:35,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-08,36,26.1,30.8,29.8,16.9,22.9,24.1,76.3,0,0,0,snow,0.3,1.1,24.2,15.9,304.4,1023.4,50.9,9.8,81.5,7.2,4,10,2024-01-08T07:13:18,2024-01-08T16:28:37,0.91,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-09,42.2,26.6,33.5,31.8,20,27,29.5,85.3,0.465,100,25,rain,0,0.4,39.4,31,106,1024.1,70.1,8.9,44.2,3.9,2,10,2024-01-09T07:13:06,2024-01-09T16:29:40,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-10,56,43.1,48.8,56,32.7,43.9,42,79,2,100,37.5,rain,0,0,55.1,33.2,210.3,990.1,85.4,7.7,49,4.2,3,10,2024-01-10T07:12:52,2024-01-10T16:30:44,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-01-11,44.1,38.9,41.7,38.9,30.1,34.7,27.7,57.7,0,0,0,,0,0,31.1,20.6,265.4,1007.7,91.8,9.9,59.5,5.3,5,10,2024-01-11T07:12:36,2024-01-11T16:31:49,0,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
