Measurement Time,Production (kWh)
4/1/2024 0:00,57.3
4/2/2024 0:00,64.9
4/3/2024 0:00,20.2
4/4/2024 0:00,23.3
4/5/2024 0:00,72.5
4/6/2024 0:00,60.8
4/7/2024 0:00,52.7
4/8/2024 0:00,112
4/9/2024 0:00,129
4/10/2024 0:00,93.8
4/11/2024 0:00,23.2
4/12/2024 0:00,16.9
4/13/2024 0:00,87.5
4/14/2024 0:00,85.6
4/15/2024 0:00,109
4/16/2024 0:00,133
4/17/2024 0:00,122
4/18/2024 0:00,26
4/19/2024 0:00,119
4/20/2024 0:00,41.8
4/21/2024 0:00,82.9
4/22/2024 0:00,146
4/23/2024 0:00,143
4/24/2024 0:00,68.7
4/25/2024 0:00,147
4/26/2024 0:00,147
4/27/2024 0:00,124
4/28/2024 0:00,110
4/29/2024 0:00,78.4
4/30/2024 0:00,59
5/1/2024 0:00,65.5
5/2/2024 0:00,109
5/3/2024 0:00,87.3
5/4/2024 0:00,112
5/5/2024 0:00,39.4
5/6/2024 0:00,114
5/7/2024 0:00,143
5/8/2024 0:00,19.5
5/9/2024 0:00,109
5/10/2024 0:00,133
5/11/2024 0:00,110
5/12/2024 0:00,87.2
5/13/2024 0:00,143
5/14/2024 0:00,136
5/15/2024 0:00,59.7
5/16/2024 0:00,35.7
5/17/2024 0:00,128
5/18/2024 0:00,37.9
5/19/2024 0:00,41.8
5/20/2024 0:00,126
5/21/2024 0:00,125
5/22/2024 0:00,137
5/23/2024 0:00,74.2
5/24/2024 0:00,144
5/25/2024 0:00,131
5/26/2024 0:00,127
5/27/2024 0:00,60.2
5/28/2024 0:00,113
5/29/2024 0:00,101
5/30/2024 0:00,41
5/31/2024 0:00,136
6/1/2024 0:00,145
6/2/2024 0:00,128
6/3/2024 0:00,133
6/4/2024 0:00,140
6/5/2024 0:00,119
6/6/2024 0:00,54.7
6/7/2024 0:00,103
6/8/2024 0:00,122
6/9/2024 0:00,57.8
6/10/2024 0:00,141
6/11/2024 0:00,76.7
6/12/2024 0:00,84.6
6/13/2024 0:00,142
6/14/2024 0:00,81
6/15/2024 0:00,146
6/16/2024 0:00,147
6/17/2024 0:00,119
6/18/2024 0:00,131
6/19/2024 0:00,125
6/20/2024 0:00,119
6/21/2024 0:00,121
6/22/2024 0:00,38.8
6/23/2024 0:00,81.3
6/24/2024 0:00,117
6/25/2024 0:00,133
6/26/2024 0:00,122
6/27/2024 0:00,132
6/28/2024 0:00,152
6/29/2024 0:00,60.4
6/30/2024 0:00,74.8
7/1/2024 0:00,94.4
7/2/2024 0:00,146
7/3/2024 0:00,140
7/4/2024 0:00,82.1
7/5/2024 0:00,72.9
7/6/2024 0:00,43.2
7/7/2024 0:00,99.7
7/8/2024 0:00,127
7/9/2024 0:00,89.8
7/10/2024 0:00,108
7/11/2024 0:00,95.9
7/12/2024 0:00,95.4
7/13/2024 0:00,68
7/14/2024 0:00,121
7/15/2024 0:00,103
7/16/2024 0:00,133
7/17/2024 0:00,107
7/18/2024 0:00,96.5
7/19/2024 0:00,130
